zip;state;city;lat;lng
36693;AL;Mobile;30.631.076;-88.158.843
36695;AL;Mobile;30.647.431;-88.229.245
36701;AL;Selma;32.419.719;-87.024.527
36703;AL;Selma;32.415.553;-87.013.546
36720;AL;Alberta;32.144.889;-87.342.503
36722;AL;Arlington;32.066.784;-87.559.691
36726;AL;Camden;32.004.732;-87.295.049
36727;AL;Campbell;31.963.512;-88.006.072
36728;AL;Catherine;32.182;-87.483.623
36732;AL;Demopolis;32.490.792;-87.839.669
36736;AL;Dixons Mills;32.067.209;-87.745.356
36738;AL;Faunsdale;32.423.259;-87.618.079
36740;AL;Forkland;32.644.661;-87.881.676
36742;AL;Gallion;32.529.771;-87.698.542
36744;AL;Greensboro;32.716.721;-87.590.494
36748;AL;Linden;32.305.343;-87.795.358
36749;AL;Jones;32.608.515;-86.889.266
36750;AL;Maplesville;32.804.507;-86.871.704
36751;AL;Lower Peach Tree;31.850.365;-87.568.224
36752;AL;Burkville;32.300.292;-86.609.868
36754;AL;Magnolia;32.141.931;-87.699.815
36756;AL;Marion;32.646.301;-87.331.437
36758;AL;Plantersville;32.617.608;-86.947.531
36759;AL;Marion Junction;32.426.589;-87.270.181
36761;AL;Boys Ranch;32.095.387;-8.692.497
36762;AL;Morvin;31.967.305;-87.972.897
36765;AL;Newbern;32.551.465;-87.561.472
36767;AL;Orrville;32.294.859;-87.221.368
36768;AL;Pine Apple;31.926.522;-87.004.667
36769;AL;Pine Hill;31.973.546;-87.577.086
36771;AL;Prairie;32.084.762;-87.448.723
36773;AL;Safford;32.300.242;-87.369.345
36775;AL;Sardis;32.284.358;-86.991.959
36776;AL;Sawyerville;32.757.796;-87.740.201
36779;AL;Sprott;32.654.376;-87.141.599
36782;AL;Sweet Water;32.077.272;-87.922.755
36783;AL;Thomaston;32.253.776;-87.597.438
36784;AL;Thomasville;31.906.728;-87.759.842
36785;AL;Benton;32.281.924;-86.859.867
36786;AL;Uniontown;32.446.966;-87.493.398
36790;AL;Stanton;32.709.631;-86.886.848
36792;AL;Randolph;32.888.834;-8.690.701
36793;AL;Lawley;32.864.558;-86.956.708
36801;AL;Opelika;32.627.771;-85.358.629
36830;AL;Auburn;32.602.043;-85.489.001
36850;AL;Camp Hill;32.782.749;-8.564.738
36852;AL;Cusseta;32.803.194;-85.215.791
36853;AL;Dadeville;3.282.239;-85.770.395
36854;AL;Valley;32.811.349;-85.174.911
36855;AL;Five Points;33.042.408;-85.324.264
36858;AL;Hatchechubbee;32.284.531;-85.302.882
36860;AL;Hurtsboro;32.245.429;-85.395.903
36861;AL;Jacksons Gap;32.879.698;-85.848.662
36862;AL;Lafayette;32.925.237;-85.442.563
36863;AL;Lanett;32.861.609;-8.521.608
36866;AL;Notasulga;32.543.727;-8.568.707
36867;AL;Phenix City;32.407.816;-85.095.082
36869;AL;Phenix City;32.470.647;-85.018.118
36871;AL;Pittsview;32.173.346;-85.131.248
36874;AL;Salem;32.621.157;-85.183.966
36875;AL;Seale;32.305.339;-85.167.733
36877;AL;Smiths;32.520.072;-85.100.027
36879;AL;Waverly;32.763.167;-85.514.372
36904;AL;Butler;32.082.906;-88.206.391
36907;AL;Cuba;32.410.973;-88.361.083
36908;AL;Gilbertown;31.866.602;-88.326.514
36910;AL;Jachin;32.244.174;-88.233.356
36912;AL;Lisman;32.217.722;-88.323.419
36915;AL;Needham;32.012.165;-88.345.798
36916;AL;Pennington;32.226.245;-880.931
36919;AL;Silas;31.766.754;-88.309.149
36921;AL;Toxey;3.193.153;-8.831.794
